,,Total,Avon and Somerset,Bedfordshire,Cambridgeshire,Cheshire,City of London,Cleveland,Cumbria,Derbyshire,Devon and Cornwall,Dorset,Durham,Dyfed Powys,Essex,Gloucestershire,Greater Manchester,Gwent,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,London Met.,Merseyside,Norfolk,North Wales,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Wales,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire
,Probably would not report,12%,10%,13%,9%,11%,14%,13%,11%,15%,12%,14%,7%,13%,12%,12%,14%,13%,13%,12%,14%,13%,7%,8%,9%,15%,13%,14%,15%,13%,10%,12%,13%,9%,14%,10%,16%,14%,11%,18%,10%,17%,10%,12%,10%
,Definitely would not report,4%,5%,4%,1%,6%,-,5%,1%,4%,6%,1%,3%,5%,3%,2%,4%,1%,7%,5%,2%,7%,3%,4%,8%,4%,5%,5%,3%,3%,2%,5%,7%,6%,1%,1%,5%,6%,4%,6%,6%,4%,4%,4%,3%
,Don't know,3%,4%,2%,3%,1%,-,-,4%,2%,4%,2%,4%,3%,2%,2%,2%,2%,3%,4%,-,2%,4%,4%,2%,3%,1%,8%,6%,3%,4%,1%,4%,5%,1%,2%,1%,5%,-,4%,3%,4%,5%,2%,3%
,WOULD REPORT,81%,81%,81%,87%,82%,86%,82%,84%,79%,78%,83%,86%,79%,83%,84%,80%,84%,77%,79%,84%,78%,86%,84%,82%,78%,81%,74%,76%,81%,84%,82%,76%,80%,84%,88%,78%,75%,85%,72%,81%,75%,81%,81%,84%
,WOULD NOT REPORT,16%,15%,17%,10%,17%,14%,18%,12%,19%,18%,15%,10%,18%,15%,14%,18%,14%,20%,17%,16%,20%,10%,12%,17%,18%,18%,18%,18%,16%,12%,17%,20%,15%,15%,10%,21%,20%,15%,24%,16%,21%,14%,16%,13%
,NET WOULD REPORT,65%,66%,64%,77%,66%,71%,64%,72%,60%,60%,68%,76%,62%,68%,70%,62%,70%,57%,62%,68%,58%,76%,73%,65%,60%,63%,55%,58%,65%,73%,65%,56%,66%,69%,77%,57%,55%,70%,48%,65%,54%,67%,65%,72%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.45.,"Local public services need to decide how best to use their resources. With this in mind, and thinking about the impact that anti-social behaviour and crime has on you and others in your local area, how important do you think it is for local public services to focus their efforts on tackling the following issues?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vehicle crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Essential,33%,35%,28%,30%,41%,29%,33%,39%,27%,36%,38%,33%,37%,31%,25%,33%,38%,31%,34%,36%,32%,31%,32%,34%,28%,37%,24%,40%,37%,29%,36%,34%,36%,28%,34%,23%,38%,29%,29%,41%,32%,31%,35%,30%
,Very important,46%,44%,45%,47%,41%,43%,51%,45%,45%,40%,44%,53%,40%,48%,45%,46%,48%,45%,44%,48%,44%,48%,52%,47%,42%,44%,47%,49%,50%,46%,51%,48%,48%,48%,47%,51%,36%,47%,45%,46%,48%,51%,48%,46%
,Fairly important,19%,19%,24%,22%,17%,29%,16%,14%,27%,23%,18%,11%,20%,21%,26%,19%,13%,23%,22%,14%,20%,20%,14%,17%,28%,17%,27%,12%,14%,23%,11%,14%,16%,20%,19%,25%,25%,22%,26%,13%,18%,16%,15%,22%
,Not important,1%,2%,4%,-,1%,-,-,1%,1%,1%,-,2%,2%,-,3%,1%,2%,1%,-,1%,3%,1%,2%,2%,2%,2%,1%,-,-,2%,2%,2%,-,1%,-,1%,1%,3%,-,1%,1%,1%,1%,2%
,Don't know,1%,-,-,1%,-,-,-,1%,1%,-,-,1%,1%,-,1%,1%,-,1%,1%,2%,1%,-,-,1%,*,-,1%,-,-,-,-,2%,-,4%,-,-,1%,-,-,-,1%,1%,*,-

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.45.,"Local public services need to decide how best to use their resources. With this in mind, and thinking about the impact that anti-social behaviour and crime has on you and others in your local area, how important do you think it is for local public services to focus their efforts on tackling the following issues?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Street robberies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Essential,48%,61%,50%,45%,48%,57%,50%,52%,48%,52%,53%,40%,44%,48%,41%,45%,46%,51%,47%,48%,45%,48%,50%,50%,49%,51%,45%,50%,52%,43%,53%,50%,53%,46%,43%,40%,54%,50%,50%,58%,50%,44%,50%,47%
,Very important,46%,35%,44%,52%,43%,43%,46%,41%,47%,41%,43%,55%,48%,49%,52%,48%,47%,43%,47%,48%,51%,44%,48%,44%,45%,42%,48%,45%,44%,50%,40%,47%,42%,52%,49%,54%,40%,46%,42%,35%,45%,50%,44%,48%
,Fairly important,5%,1%,7%,3%,6%,-,4%,5%,4%,5%,4%,2%,6%,4%,3%,6%,5%,5%,7%,4%,4%,5%,2%,6%,6%,7%,7%,4%,3%,7%,7%,2%,5%,1%,9%,5%,5%,3%,8%,3%,5%,6%,5%,3%
,Not important,1%,2%,-,-,1%,-,-,1%,1%,1%,-,1%,1%,-,3%,*,-,1%,-,-,-,3%,1%,-,-,-,-,-,1%,-,-,1%,-,-,-,1%,-,-,-,2%,-,*,*,2%
,Don't know,1%,1%,-,-,2%,-,1%,1%,1%,1%,-,2%,1%,-,1%,1%,1%,-,-,1%,-,-,-,1%,1%,-,1%,1%,-,-,-,-,-,1%,-,-,1%,2%,1%,2%,1%,-,*,1%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.45.,"Local public services need to decide how best to use their resources. With this in mind, and thinking about the impact that anti-social behaviour and crime has on you and others in your local area, how important do you think it is for local public services to focus their efforts on tackling the following issues?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Domestic violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Essential,45%,59%,49%,42%,49%,57%,45%,47%,40%,57%,55%,40%,46%,47%,45%,42%,43%,43%,49%,41%,47%,38%,45%,48%,43%,48%,42%,52%,36%,38%,52%,53%,44%,40%,42%,44%,51%,44%,50%,58%,43%,40%,46%,43%
,Very important,44%,31%,41%,52%,41%,43%,42%,41%,48%,30%,32%,49%,46%,45%,46%,48%,44%,50%,41%,47%,39%,50%,43%,42%,44%,43%,45%,42%,50%,55%,43%,39%,43%,49%,50%,44%,36%,45%,40%,36%,41%,51%,44%,49%
,Fairly important,8%,9%,9%,6%,9%,-,12%,10%,9%,12%,11%,9%,5%,7%,5%,7%,11%,5%,11%,10%,12%,10%,9%,8%,9%,7%,13%,4%,11%,6%,4%,7%,11%,10%,7%,10%,9%,9%,10%,4%,13%,7%,7%,6%
,Not important,1%,1%,1%,-,-,-,-,-,2%,1%,1%,-,-,-,2%,2%,1%,-,-,1%,1%,2%,1%,2%,1%,1%,-,1%,3%,-,-,-,1%,-,1%,-,1%,2%,-,-,1%,1%,1%,1%
,Don't know,1%,-,1%,-,1%,-,2%,2%,1%,-,1%,2%,3%,1%,2%,1%,1%,2%,-,2%,1%,-,2%,1%,1%,1%,1%,1%,-,1%,1%,2%,1%,2%,-,3%,3%,1%,1%,2%,2%,1%,2%,2%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.45.,"Local public services need to decide how best to use their resources. With this in mind, and thinking about the impact that anti-social behaviour and crime has on you and others in your local area, how important do you think it is for local public services to focus their efforts on tackling the following issues?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burglary of homes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Essential,49%,52%,50%,49%,52%,57%,46%,56%,50%,50%,54%,40%,43%,55%,46%,48%,51%,50%,54%,47%,48%,54%,50%,50%,46%,54%,41%,52%,48%,43%,54%,54%,51%,42%,49%,47%,55%,46%,52%,56%,58%,47%,50%,45%
,Very important,46%,39%,47%,47%,43%,43%,47%,40%,45%,39%,39%,52%,49%,44%,50%,48%,42%,45%,42%,49%,47%,41%,47%,44%,48%,37%,50%,43%,50%,52%,41%,42%,45%,50%,47%,49%,43%,47%,43%,41%,37%,49%,45%,53%
,Fairly important,4%,7%,3%,4%,3%,-,7%,3%,5%,7%,4%,6%,6%,1%,2%,4%,7%,5%,4%,4%,5%,3%,2%,4%,6%,9%,8%,5%,1%,4%,5%,3%,4%,7%,4%,4%,1%,8%,5%,2%,4%,3%,3%,1%
,Not important,*,2%,-,-,1%,-,1%,-,-,2%,-,-,-,-,1%,-,-,-,-,-,-,2%,1%,1%,-,-,-,-,1%,1%,-,-,-,-,-,-,-,-,-,-,1%,*,1%,1%
,Don't know,1%,-,-,-,1%,-,-,1%,1%,2%,2%,2%,2%,-,1%,1%,-,-,-,1%,-,-,-,1%,*,-,1%,-,-,-,-,-,-,2%,1%,1%,1%,-,-,1%,-,*,1%,-

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.45.,"Local public services need to decide how best to use their resources. With this in mind, and thinking about the impact that anti-social behaviour and crime has on you and others in your local area, how important do you think it is for local public services to focus their efforts on tackling the following issues?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Criminal Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Essential,35%,43%,30%,35%,36%,57%,32%,43%,33%,41%,46%,28%,32%,37%,30%,36%,39%,30%,33%,34%,32%,38%,35%,37%,32%,42%,32%,42%,37%,32%,38%,36%,34%,35%,38%,25%,38%,34%,31%,42%,35%,30%,36%,35%
,Very important,49%,38%,43%,49%,48%,43%,47%,44%,45%,45%,41%,57%,51%,53%,54%,49%,50%,52%,45%,54%,54%,50%,55%,54%,47%,36%,47%,48%,46%,55%,47%,51%,46%,47%,46%,57%,49%,50%,45%,46%,51%,55%,48%,49%
,Fairly important,15%,19%,26%,16%,15%,-,21%,13%,22%,13%,12%,13%,16%,9%,15%,14%,11%,17%,23%,10%,12%,10%,9%,7%,20%,21%,19%,10%,18%,13%,14%,11%,18%,19%,15%,17%,13%,14%,23%,13%,12%,14%,16%,16%
,Not important,*,-,1%,-,-,-,1%,-,1%,1%,-,-,-,-,1%,*,-,1%,-,1%,1%,2%,1%,2%,-,1%,-,1%,-,-,2%,1%,-,-,1%,1%,-,1%,-,-,-,1%,*,1%
,Don't know,*,-,-,-,1%,-,-,1%,-,-,1%,2%,1%,-,-,*,-,-,-,1%,1%,-,-,-,1%,-,2%,-,-,-,-,1%,2%,-,-,-,1%,1%,1%,-,1%,*,*,-

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.45.,"Local public services need to decide how best to use their resources. With this in mind, and thinking about the impact that anti-social behaviour and crime has on you and others in your local area, how important do you think it is for local public services to focus their efforts on tackling the following issues?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Noisy and nuisance neighbours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Essential,20%,18%,19%,22%,22%,-,18%,23%,13%,18%,26%,17%,15%,22%,15%,21%,22%,14%,25%,24%,15%,17%,24%,19%,19%,22%,16%,19%,21%,15%,25%,23%,30%,21%,16%,14%,25%,18%,12%,22%,22%,18%,20%,16%
,Very important,34%,32%,27%,32%,34%,57%,34%,34%,39%,34%,23%,32%,40%,34%,34%,38%,35%,36%,28%,33%,29%,47%,28%,35%,40%,40%,23%,35%,29%,41%,33%,38%,28%,34%,41%,36%,28%,29%,31%,33%,36%,37%,29%,30%
,Fairly important,39%,40%,48%,42%,42%,29%,37%,36%,43%,38%,46%,43%,38%,38%,42%,36%,36%,42%,43%,37%,44%,28%,39%,39%,35%,32%,50%,41%,45%,39%,36%,31%,35%,37%,38%,42%,42%,47%,50%,40%,30%,39%,44%,45%
,Not important,6%,9%,6%,3%,2%,14%,10%,6%,5%,6%,4%,6%,4%,6%,9%,5%,7%,7%,5%,7%,11%,8%,5%,7%,5%,5%,6%,6%,5%,4%,7%,5%,6%,7%,4%,9%,4%,6%,6%,5%,8%,5%,5%,8%
,Don't know,1%,1%,1%,1%,-,-,2%,1%,-,4%,2%,2%,3%,-,-,1%,1%,2%,-,-,1%,-,3%,-,1%,1%,6%,-,1%,1%,-,3%,-,2%,1%,-,2%,1%,1%,1%,5%,*,1%,2%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.45.,"Local public services need to decide how best to use their resources. With this in mind, and thinking about the impact that anti-social behaviour and crime has on you and others in your local area, how important do you think it is for local public services to focus their efforts on tackling the following issues?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,People being drunk or rowdy in public places,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Essential,17%,24%,11%,20%,25%,29%,16%,17%,14%,19%,21%,14%,14%,14%,13%,20%,18%,9%,18%,22%,13%,17%,11%,18%,13%,20%,11%,23%,20%,17%,14%,22%,18%,15%,14%,16%,19%,23%,15%,26%,17%,15%,14%,19%
,Very important,30%,31%,30%,25%,30%,43%,28%,20%,30%,20%,39%,30%,35%,35%,33%,29%,35%,29%,31%,21%,27%,25%,40%,26%,30%,32%,23%,34%,29%,40%,37%,40%,32%,32%,32%,35%,27%,30%,25%,33%,31%,35%,24%,29%
,Fairly important,45%,41%,52%,47%,39%,14%,43%,53%,48%,55%,37%,49%,42%,43%,41%,41%,42%,52%,44%,50%,52%,51%,41%,44%,43%,41%,56%,43%,44%,37%,42%,33%,41%,44%,47%,41%,50%,44%,50%,35%,43%,42%,53%,46%
,Not important,7%,2%,6%,6%,4%,14%,12%,7%,7%,3%,3%,6%,7%,7%,11%,8%,5%,9%,8%,6%,8%,7%,8%,10%,12%,6%,7%,1%,8%,5%,8%,3%,8%,9%,7%,9%,4%,4%,10%,5%,6%,7%,8%,6%
,Don't know,1%,2%,1%,2%,1%,-,2%,3%,1%,3%,-,1%,2%,1%,2%,1%,-,1%,-,1%,-,1%,-,2%,1%,1%,3%,-,-,1%,-,3%,1%,1%,-,-,1%,-,1%,2%,3%,1%,1%,-

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.45.,"Local public services need to decide how best to use their resources. With this in mind, and thinking about the impact that anti-social behaviour and crime has on you and others in your local area, how important do you think it is for local public services to focus their efforts on tackling the following issues?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vandalism and graffiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Essential,24%,29%,25%,26%,23%,29%,24%,32%,20%,30%,30%,18%,25%,25%,22%,24%,30%,16%,21%,22%,22%,26%,23%,26%,22%,29%,16%,29%,26%,23%,26%,28%,23%,21%,22%,19%,26%,23%,20%,34%,24%,24%,26%,17%
,Very important,40%,36%,30%,37%,47%,43%,38%,35%,40%,28%,32%,50%,40%,42%,37%,44%,43%,45%,40%,37%,39%,41%,45%,40%,38%,42%,38%,39%,37%,48%,41%,47%,38%,44%,41%,37%,37%,36%,39%,45%,41%,44%,39%,39%
,Fairly important,33%,31%,42%,34%,28%,29%,33%,30%,37%,41%,33%,30%,31%,33%,41%,30%,26%,37%,35%,40%,35%,29%,30%,30%,35%,25%,46%,33%,36%,29%,31%,23%,35%,30%,35%,44%,35%,40%,37%,21%,30%,30%,31%,40%
,Not important,2%,4%,4%,3%,1%,-,5%,1%,2%,1%,2%,1%,2%,-,-,2%,1%,3%,5%,-,2%,3%,2%,4%,5%,4%,-,-,2%,-,3%,1%,4%,6%,2%,-,2%,2%,4%,1%,3%,1%,4%,4%
,Don't know,1%,-,-,-,1%,-,1%,2%,-,-,3%,1%,1%,-,-,1%,-,-,-,2%,2%,-,-,-,*,-,1%,-,-,-,-,1%,-,-,-,1%,1%,-,-,-,3%,*,1%,-

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
D1.,Gender.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,46%,49%,43%,46%,49%,71%,39%,37%,44%,43%,56%,39%,43%,49%,41%,47%,44%,54%,41%,49%,43%,49%,45%,42%,54%,46%,49%,39%,59%,44%,41%,41%,40%,44%,46%,43%,46%,37%,54%,45%,50%,48%,43%,34%
,Female,54%,51%,57%,54%,51%,29%,61%,63%,56%,57%,44%,61%,57%,51%,59%,53%,56%,46%,59%,51%,57%,51%,55%,58%,46%,54%,51%,61%,41%,56%,59%,59%,60%,56%,54%,57%,53%,63%,46%,55%,49%,52%,57%,66%
,Trans-gender,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-,-,1%,-,-,-
,Prefer not to answer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
D2.,Could you please tell me your age?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16-24,6%,5%,12%,9%,2%,-,6%,7%,8%,7%,4%,7%,4%,6%,6%,6%,4%,7%,8%,9%,3%,7%,1%,8%,3%,8%,8%,6%,5%,4%,5%,3%,10%,8%,5%,6%,2%,5%,6%,5%,4%,6%,7%,6%
,25-34,15%,15%,24%,17%,14%,-,13%,11%,12%,10%,13%,14%,8%,14%,10%,18%,11%,14%,13%,19%,8%,16%,13%,16%,23%,14%,11%,14%,11%,14%,14%,16%,22%,12%,19%,11%,14%,13%,20%,14%,12%,17%,14%,9%
,35-44,26%,24%,30%,22%,27%,29%,30%,24%,25%,30%,21%,23%,25%,36%,32%,27%,28%,28%,29%,18%,25%,22%,23%,18%,27%,23%,28%,24%,28%,22%,25%,24%,18%,37%,19%,25%,26%,28%,23%,27%,24%,27%,27%,29%
,45-54,23%,20%,23%,20%,23%,43%,22%,23%,24%,12%,21%,23%,25%,17%,32%,23%,24%,25%,27%,24%,26%,20%,27%,20%,24%,20%,21%,26%,23%,26%,26%,27%,15%,19%,28%,25%,24%,25%,25%,27%,27%,25%,23%,19%
,55-59,8%,11%,2%,12%,10%,-,9%,8%,10%,12%,10%,10%,9%,9%,2%,9%,11%,5%,4%,6%,15%,11%,9%,8%,5%,15%,5%,13%,12%,8%,8%,6%,7%,9%,10%,9%,11%,4%,4%,8%,12%,8%,9%,9%
,60-64,9%,11%,2%,8%,12%,29%,6%,11%,6%,8%,13%,11%,14%,9%,7%,7%,12%,9%,9%,8%,6%,13%,10%,12%,7%,8%,11%,10%,8%,14%,9%,9%,9%,7%,8%,9%,7%,11%,10%,11%,5%,7%,8%,17%
,65+,13%,14%,8%,12%,13%,-,15%,15%,14%,21%,19%,12%,17%,9%,11%,11%,11%,13%,11%,17%,17%,13%,16%,18%,10%,12%,17%,8%,14%,11%,14%,15%,21%,9%,12%,16%,17%,15%,12%,9%,16%,10%,13%,11%
,Refused,*,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,*,-,-,-,-,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
D3.,Working Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Working - Full time (30+ hrs),44%,42%,53%,42%,47%,71%,39%,43%,42%,38%,42%,42%,34%,56%,43%,46%,46%,48%,46%,46%,40%,50%,54%,39%,46%,36%,42%,44%,55%,40%,47%,40%,44%,44%,46%,38%,50%,49%,56%,48%,37%,42%,43%,41%
,Working - Part-time (9-29 hrs),14%,15%,12%,16%,17%,14%,15%,14%,15%,15%,17%,13%,19%,12%,18%,10%,11%,14%,16%,13%,18%,9%,12%,14%,12%,14%,14%,16%,9%,14%,11%,22%,12%,13%,18%,20%,14%,16%,15%,24%,14%,13%,15%,13%
,Unemployed,7%,10%,6%,5%,5%,-,7%,5%,9%,7%,6%,7%,7%,7%,7%,11%,9%,6%,4%,5%,5%,3%,4%,6%,12%,10%,7%,5%,6%,7%,9%,8%,4%,11%,12%,4%,6%,3%,3%,7%,8%,11%,6%,7%
,Not working - retired,17%,18%,8%,19%,16%,-,19%,21%,17%,24%,27%,19%,24%,14%,12%,13%,19%,14%,16%,19%,13%,23%,20%,22%,14%,21%,21%,15%,19%,16%,17%,19%,23%,12%,15%,23%,19%,22%,15%,11%,23%,14%,16%,24%
,Not working - looking after house/ children,7%,2%,10%,10%,7%,-,7%,6%,8%,6%,4%,7%,4%,7%,7%,6%,4%,9%,12%,9%,10%,4%,7%,9%,6%,5%,6%,8%,5%,9%,7%,4%,5%,8%,6%,6%,6%,9%,6%,3%,8%,6%,9%,9%
,Not working - invalid/ disabled,7%,10%,7%,4%,9%,14%,11%,9%,8%,9%,4%,10%,11%,3%,6%,11%,9%,6%,4%,4%,13%,7%,2%,8%,7%,9%,5%,8%,5%,13%,6%,7%,6%,8%,3%,8%,4%,2%,4%,7%,4%,10%,6%,5%
,Student,2%,3%,5%,3%,-,-,2%,1%,1%,-,1%,2%,-,1%,6%,3%,3%,2%,2%,5%,-,4%,-,3%,3%,2%,5%,3%,-,2%,3%,1%,6%,4%,-,2%,1%,-,2%,1%,5%,3%,3%,1%
,Other,1%,-,-,1%,-,-,1%,-,1%,1%,-,-,2%,-,1%,1%,-,2%,1%,-,1%,1%,2%,-,1%,3%,1%,2%,1%,-,1%,-,1%,1%,-,-,-,-,-,-,2%,1%,1%,1%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
D4.,Social grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,4%,5%,6%,5%,5%,14%,2%,3%,2%,6%,5%,1%,6%,2%,5%,3%,4%,6%,7%,4%,4%,3%,3%,4%,5%,5%,1%,4%,2%,2%,2%,1%,3%,-,4%,6%,4%,5%,8%,7%,4%,2%,2%,5%
,B,16%,20%,13%,18%,22%,14%,15%,16%,13%,12%,23%,6%,6%,18%,22%,14%,10%,23%,21%,12%,14%,10%,25%,13%,20%,9%,16%,12%,25%,16%,19%,18%,19%,14%,10%,14%,26%,17%,18%,14%,13%,12%,14%,14%
,C1,26%,22%,31%,28%,22%,43%,23%,26%,25%,19%,25%,28%,21%,29%,32%,25%,30%,21%,23%,29%,25%,25%,32%,24%,24%,28%,25%,35%,24%,28%,21%,28%,27%,17%,23%,26%,22%,34%,29%,29%,25%,24%,29%,33%
,C2,17%,16%,19%,12%,15%,29%,21%,15%,21%,13%,14%,17%,20%,21%,12%,16%,19%,19%,18%,20%,16%,17%,18%,19%,12%,10%,13%,10%,13%,11%,16%,19%,15%,26%,21%,19%,19%,13%,15%,17%,21%,19%,18%,13%
,D,13%,13%,18%,14%,19%,-,11%,13%,13%,14%,15%,14%,15%,13%,7%,13%,17%,10%,9%,14%,14%,21%,5%,15%,8%,17%,16%,14%,19%,8%,19%,13%,13%,15%,18%,12%,11%,11%,16%,14%,12%,17%,13%,13%
,E,22%,21%,11%,19%,18%,-,26%,24%,24%,31%,15%,32%,28%,16%,20%,28%,19%,22%,21%,21%,23%,21%,14%,25%,28%,31%,26%,21%,15%,33%,24%,20%,20%,26%,23%,22%,18%,19%,12%,17%,22%,24%,21%,21%
,Refused,2%,3%,1%,4%,1%,-,3%,3%,1%,5%,2%,2%,5%,2%,2%,2%,1%,-,2%,1%,4%,4%,2%,-,3%,-,4%,5%,3%,2%,-,1%,4%,3%,1%,2%,1%,2%,3%,3%,3%,2%,2%,2%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
D5,To which ethnic group do you consider you belong?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WHITE - British,87%,91%,77%,89%,96%,43%,92%,94%,90%,94%,92%,93%,90%,92%,96%,82%,91%,95%,82%,96%,93%,91%,90%,94%,55%,94%,94%,93%,95%,84%,93%,88%,85%,91%,93%,93%,89%,93%,85%,95%,93%,76%,86%,92%
,WHITE - Irish,1%,1%,3%,-,1%,14%,1%,-,-,2%,1%,-,1%,1%,-,3%,1%,-,2%,-,-,1%,-,1%,6%,1%,-,-,1%,4%,-,2%,-,-,1%,-,3%,1%,1%,-,-,2%,1%,1%
,WHITE - Any other white background,3%,2%,2%,5%,2%,43%,-,2%,4%,-,5%,3%,6%,-,1%,2%,6%,3%,8%,1%,3%,1%,1%,4%,10%,2%,3%,5%,2%,6%,2%,3%,8%,5%,4%,4%,2%,5%,3%,1%,4%,2%,2%,1%
,MIXED - White and Black Caribbean,*,1%,1%,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,1%,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,1%
,MIXED - White and Black African,*,-,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-,1%,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-
,MIXED - White and Asian,*,1%,-,-,-,-,-,-,1%,1%,1%,-,-,-,3%,*,-,-,-,-,-,-,-,-,*,-,-,-,-,-,1%,1%,-,-,-,1%,-,1%,2%,-,-,-,*,-
,MIXED - Any other mixed background,1%,2%,3%,2%,1%,-,1%,1%,1%,-,-,1%,1%,1%,-,1%,-,-,2%,-,-,1%,-,-,2%,1%,2%,-,1%,-,1%,-,1%,-,1%,-,-,-,-,-,-,1%,-,-
,ASIAN OR ASIAN BRITISH Indian,2%,1%,5%,1%,-,-,-,-,1%,-,-,2%,1%,4%,-,1%,-,-,2%,-,1%,3%,7%,-,3%,-,-,-,-,1%,1%,1%,1%,1%,-,-,2%,-,4%,2%,-,6%,3%,2%
